epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.4546,1.56723,3.17372,1.68239,0.81819,0.86364,0.93405,0.54415,1.41903,1.66323,1.67949,0.000236616,0.000236616,0.000236616
2,181.569,1.44172,1.44212,1.49024,0.884,0.91868,0.94965,0.5852,1.32625,1.04259,1.58872,0.000465219,0.000465219,0.000465219
3,268.775,1.43076,1.23832,1.48214,0.88005,0.903,0.95007,0.57351,1.38563,0.99866,1.59471,0.000684397,0.000684397,0.000684397
4,356,1.35741,1.07104,1.42569,0.89194,0.89904,0.93801,0.59776,1.22996,0.90246,1.50223,0.000671588,0.000671588,0.000671588
5,443.758,1.38711,1.02009,1.44613,0.94508,0.97986,0.98175,0.63473,1.21386,0.69725,1.46158,0.000657451,0.000657451,0.000657451
6,531.645,1.28969,0.91823,1.38641,0.94734,0.97109,0.9848,0.67874,1.12376,0.61871,1.38153,0.000643314,0.000643314,0.000643314
7,619.431,1.22556,0.88683,1.34659,0.9692,0.99084,0.98997,0.68798,1.10987,0.61072,1.36154,0.000629177,0.000629177,0.000629177
8,707.216,1.22337,0.82597,1.33376,0.97607,0.97011,0.99398,0.65306,1.26831,0.63441,1.47475,0.00061504,0.00061504,0.00061504
9,795.225,1.17333,0.7714,1.30922,0.97209,0.99963,0.99327,0.7227,1.06287,0.53356,1.29706,0.000600902,0.000600902,0.000600902
10,884.346,1.13724,0.74474,1.27658,0.97807,0.99186,0.99273,0.70926,1.07582,0.53994,1.30509,0.000586765,0.000586765,0.000586765
11,973.337,1.10147,0.71731,1.26185,0.96508,0.99573,0.99448,0.75176,0.93807,0.49004,1.23067,0.000572628,0.000572628,0.000572628
12,1061.75,1.04453,0.66217,1.2399,0.98351,0.9983,0.99468,0.76979,0.89101,0.43773,1.20008,0.000558491,0.000558491,0.000558491
13,1150.04,1.00527,0.64126,1.20985,0.99035,1,0.995,0.7771,0.86066,0.41996,1.16734,0.000544354,0.000544354,0.000544354
14,1238.22,0.97035,0.61668,1.19034,0.99153,0.99652,0.995,0.78215,0.85995,0.43178,1.16525,0.000530216,0.000530216,0.000530216
15,1327.26,0.96822,0.62714,1.19935,0.98418,0.99593,0.995,0.79953,0.80165,0.41938,1.12763,0.000516079,0.000516079,0.000516079
16,1416.45,0.95053,0.58941,1.18475,0.99078,1,0.99435,0.81342,0.75326,0.37479,1.09287,0.000501942,0.000501942,0.000501942
17,1504.87,0.93433,0.55199,1.17451,0.99281,0.99856,0.995,0.81106,0.76586,0.37602,1.08704,0.000487805,0.000487805,0.000487805
18,1592.86,0.9066,0.55657,1.16324,0.99348,1,0.995,0.82121,0.75376,0.35834,1.07743,0.000473668,0.000473668,0.000473668
19,1681.02,0.87726,0.53663,1.15297,0.99515,0.99902,0.995,0.79702,0.77822,0.36323,1.13053,0.00045953,0.00045953,0.00045953
20,1768.96,0.85777,0.51895,1.13664,0.99382,1,0.995,0.80036,0.83284,0.37327,1.13289,0.000445393,0.000445393,0.000445393
21,1856.84,0.84885,0.49941,1.12493,0.99278,0.99839,0.99481,0.85624,0.64708,0.32826,1.02303,0.000431256,0.000431256,0.000431256
22,1944.88,0.82331,0.49928,1.12609,0.99492,0.99622,0.995,0.85979,0.6283,0.3202,1.01689,0.000417119,0.000417119,0.000417119
23,2032.9,0.80109,0.49837,1.1099,0.99112,1,0.99468,0.85887,0.61716,0.31657,1.01756,0.000402982,0.000402982,0.000402982
24,2120.78,0.77461,0.47263,1.09662,0.9961,1,0.995,0.85482,0.6548,0.30698,1.03082,0.000388844,0.000388844,0.000388844
25,2208.76,0.75203,0.44814,1.07914,0.99568,1,0.995,0.87511,0.58971,0.29402,0.9774,0.000374707,0.000374707,0.000374707
26,2296.78,0.73916,0.46389,1.08244,0.9961,1,0.995,0.8715,0.60495,0.30315,0.99087,0.00036057,0.00036057,0.00036057
27,2384.95,0.73018,0.44717,1.07236,0.9941,1,0.995,0.87187,0.57603,0.29138,0.97259,0.000346433,0.000346433,0.000346433
28,2473.03,0.72211,0.44747,1.06866,0.99578,0.99788,0.995,0.86664,0.63281,0.3056,1.007,0.000332296,0.000332296,0.000332296
29,2561.07,0.71599,0.43086,1.06665,0.9962,1,0.995,0.88975,0.53209,0.2742,0.94805,0.000318158,0.000318158,0.000318158
30,2649.46,0.66684,0.39979,1.03127,0.99594,1,0.995,0.89896,0.51231,0.27426,0.94001,0.000304021,0.000304021,0.000304021
